"Token","Rating","TokenCount","RatingWideCount"
"a bit optimistic",1,1,25389211
"a bit optimistic",2,0,11750820
"a bit optimistic",3,1,13990519
"a bit optimistic",4,0,14958477
"a bit optimistic",5,0,20382805
"a bit optimistic",6,0,27408662
"a bit optimistic",7,1,40176069
"a bit optimistic",8,0,48706843
"a bit optimistic",9,0,40264174
"a bit optimistic",10,1,73929298
"a little bit surprised",1,1,25389211
"a little bit surprised",2,1,11750820
"a little bit surprised",3,0,13990519
"a little bit surprised",4,0,14958477
"a little bit surprised",5,3,20382805
"a little bit surprised",6,3,27408662
"a little bit surprised",7,5,40176069
"a little bit surprised",8,3,48706843
"a little bit surprised",9,4,40264174
"a little bit surprised",10,4,73929298
"a little bit unusual",1,0,25389211
"a little bit unusual",2,0,11750820
"a little bit unusual",3,0,13990519
"a little bit unusual",4,0,14958477
"a little bit unusual",5,0,20382805
"a little bit unusual",6,0,27408662
"a little bit unusual",7,0,40176069
"a little bit unusual",8,1,48706843
"a little bit unusual",9,2,40264174
"a little bit unusual",10,0,73929298
"a lot better",1,518,25389211
"a lot better",2,314,11750820
"a lot better",3,423,13990519
"a lot better",4,577,14958477
"a lot better",5,878,20382805
"a lot better",6,1102,27408662
"a lot better",7,1230,40176069
"a lot better",8,940,48706843
"a lot better",9,579,40264174
"a lot better",10,956,73929298
"absolutely accurate",1,2,25389211
"absolutely accurate",2,0,11750820
"absolutely accurate",3,1,13990519
"absolutely accurate",4,0,14958477
"absolutely accurate",5,0,20382805
"absolutely accurate",6,1,27408662
"absolutely accurate",7,0,40176069
"absolutely accurate",8,7,48706843
"absolutely accurate",9,3,40264174
"absolutely accurate",10,12,73929298
"absolutely good",1,0,25389211
"absolutely good",2,0,11750820
"absolutely good",3,0,13990519
"absolutely good",4,0,14958477
"absolutely good",5,1,20382805
"absolutely good",6,3,27408662
"absolutely good",7,6,40176069
"absolutely good",8,1,48706843
"absolutely good",9,5,40264174
"absolutely good",10,7,73929298
"absolutely huge",1,2,25389211
"absolutely huge",2,0,11750820
"absolutely huge",3,1,13990519
"absolutely huge",4,1,14958477
"absolutely huge",5,2,20382805
"absolutely huge",6,6,27408662
"absolutely huge",7,5,40176069
"absolutely huge",8,5,48706843
"absolutely huge",9,3,40264174
"absolutely huge",10,5,73929298
"absolutely responsible",1,0,25389211
"absolutely responsible",2,0,11750820
"absolutely responsible",3,0,13990519
"absolutely responsible",4,1,14958477
"absolutely responsible",5,0,20382805
"absolutely responsible",6,0,27408662
"absolutely responsible",7,0,40176069
"absolutely responsible",8,0,48706843
"absolutely responsible",9,0,40264174
"absolutely responsible",10,0,73929298
"absolutely right",1,23,25389211
"absolutely right",2,14,11750820
"absolutely right",3,16,13990519
"absolutely right",4,11,14958477
"absolutely right",5,11,20382805
"absolutely right",6,25,27408662
"absolutely right",7,33,40176069
"absolutely right",8,41,48706843
"absolutely right",9,47,40264174
"absolutely right",10,101,73929298
"absolutely true",1,20,25389211
"absolutely true",2,7,11750820
"absolutely true",3,7,13990519
"absolutely true",4,2,14958477
"absolutely true",5,7,20382805
"absolutely true",6,9,27408662
"absolutely true",7,14,40176069
"absolutely true",8,35,48706843
"absolutely true",9,17,40264174
"absolutely true",10,78,73929298
"absolutely untrue",1,1,25389211
"absolutely untrue",2,0,11750820
"absolutely untrue",3,1,13990519
"absolutely untrue",4,0,14958477
"absolutely untrue",5,1,20382805
"absolutely untrue",6,0,27408662
"absolutely untrue",7,0,40176069
"absolutely untrue",8,2,48706843
"absolutely untrue",9,0,40264174
"absolutely untrue",10,0,73929298
"all right",1,339,25389211
"all right",2,174,11750820
"all right",3,194,13990519
"all right",4,245,14958477
"all right",5,329,20382805
"all right",6,390,27408662
"all right",7,512,40176069
"all right",8,477,48706843
"all right",9,363,40264174
"all right",10,616,73929298
"always aware",1,10,25389211
"always aware",2,7,11750820
"always aware",3,5,13990519
"always aware",4,2,14958477
"always aware",5,14,20382805
"always aware",6,16,27408662
"always aware",7,18,40176069
"always aware",8,26,48706843
"always aware",9,25,40264174
"always aware",10,23,73929298
"basically correct",1,0,25389211
"basically correct",2,0,11750820
"basically correct",3,0,13990519
"basically correct",4,0,14958477
"basically correct",5,0,20382805
"basically correct",6,0,27408662
"basically correct",7,0,40176069
"basically correct",8,2,48706843
"basically correct",9,0,40264174
"basically correct",10,2,73929298
"better than nothing",1,5,25389211
"better than nothing",2,5,11750820
"better than nothing",3,8,13990519
"better than nothing",4,12,14958477
"better than nothing",5,15,20382805
"better than nothing",6,15,27408662
"better than nothing",7,18,40176069
"better than nothing",8,15,48706843
"better than nothing",9,12,40264174
"better than nothing",10,31,73929298
"certainly lighter",1,0,25389211
"certainly lighter",2,0,11750820
"certainly lighter",3,0,13990519
"certainly lighter",4,0,14958477
"certainly lighter",5,0,20382805
"certainly lighter",6,0,27408662
"certainly lighter",7,1,40176069
"certainly lighter",8,0,48706843
"certainly lighter",9,0,40264174
"certainly lighter",10,0,73929298
"certainly possible",1,4,25389211
"certainly possible",2,1,11750820
"certainly possible",3,3,13990519
"certainly possible",4,1,14958477
"certainly possible",5,0,20382805
"certainly possible",6,1,27408662
"certainly possible",7,6,40176069
"certainly possible",8,5,48706843
"certainly possible",9,7,40264174
"certainly possible",10,10,73929298
"clearly different",1,1,25389211
"clearly different",2,0,11750820
"clearly different",3,0,13990519
"clearly different",4,2,14958477
"clearly different",5,0,20382805
"clearly different",6,3,27408662
"clearly different",7,6,40176069
