"Factor","Successes","Failures"
0,11,12
1,1,2
2,15,49
3,38,43
4,34,37
5,44,42
6,34,53
7,23,38
8,40,47
9,19,26
10,32,43
11,21,29
12,36,55
13,25,16
14,21,19
15,21,22
16,16,22
17,15,12
18,23,16
19,10,4
20,5,14
21,10,1
22,5,2
23,4,2
24,3,4
25,5,5
26,1,1
1819,1,0
28,0,4
29,2,4
30,5,4
32,1,2
33,2,1
34,1,1
35,3,0
36,0,1
37,0,1
38,0,1
40,2,7
41,0,2
42,0,1
16171819,0,1
300,1,0
46,2,0
44,1,0
27,1,1
50,4,3
51,2,0
53,1,1
2000,0,1
56,1,0
57,1,0
60,5,4
61,1,0
62,0,2
65,0,1
66,0,1
70,0,2
71,1,0
72,0,1
75,1,0
930,0,1
78,0,1
80,3,1
86,0,3
131415,0,1
90,0,1
10000,0,1
100,0,7
107,0,1
6000,2,0
113,0,1
115,0,1
120,1,1
-5,1,0
