Classification,Source,Question,Answer
numeric.txt,sw10utt/sw_1021_2954,A: Does he have a lot of land to go walking?,B: Eighty acres.
adjectives_cnn.txt,TheSituationRoom/0509-08-sitroom.01.txt,A: The president is promising support for Americans who have suffered from this hurricane. Are you confident you are going to be getting that?,B: I'm not so sure about my insurance company.
adjectives_cnn.txt,AndersonCooper360/0312-12-acd.00.txt,"A: Well, it's just one clip.  Was it a good movie?",B: It's an OK movie.
numeric.txt,sw05utt/sw_0556_3317.utt,A: Have you been living there very long?,B: I'm in here right now about twelve and a half years.
adverb_adjectives_cnn.txt,AndersonCooper360/0807-25-acd.01.txt,"A: You're watching that, looks like a rugby match.  The player who was arrested, as you know, is Julio Castillo.  He's with Peoria Chiefs, facing a charge of felonious assault for throwing a ball into the stands and hitting a fan.  Is that unusual for this kind of situation?",B: It's very unusual.
adverb_adjectives_cnn.txt,LateEdition/0106-03-le.00.txt,"A: You've raised a lot of money for breast cancer research.  Is money still a problem, or there is enough money right now?",B: Money is always a problem.
adjectives_cnn.txt,LateEdition/0306-08-le.00.txt,"A: That's a very, very strong indictment, a strong charge. Is he right?","B: It's also very, very wrong."
adjectives_cnn.txt,LarryKingLive/0103-27-lkl.00.txt,A: Do you think she'd be happy with this book?,B: I think she'd be delighted by it.
adjectives_cnn.txt,LateEdition/0711-25-le.01.txt,"A: Let's talk about Syria's decision to send their deputy foreign minister, not their foreign minister, to Annapolis.  Is that good or bad?",B: It's positive that Syria chose to send anybody.
adjectives_cnn.txt,LarryKingLive/0102-26-lkl.00.txt,A: Am I clear?,B: I wish you were a little more forthright.
adjectives_cnn.txt,AndersonCooper360/0512-28-acd.01.txt,"A: I guess there's a certain level of anger at -- I mean, apparently a ramp worker dented the plane, didn't report it until after all of this had happened.  Are you angry?",B: I'm disappointed.
adjectives_cnn.txt,LouDobbsTonight/0602-24-ldt.01.txt,"A: I'm sorry.  At its best, this is a messy democracy.  And by golly, people are really talking to the representatives.  And for the first time that I've heard -- I don't know about you, Ed -- our representatives are actually listening to working men and women, people back home.  Isn't that a good thing?",B: I think it's very positive thing.
adverb_adjectives_cnn.txt,LarryKingLive/0504-11-lkl.01.txt,A: What about William and Harry?  Were they happy?,B: They were so happy.
adjectives_cnn.txt,LateEdition/0801-06-le.01.txt,"A: There were a lot of rumors circulating in Iowa that, if you didn't make that so-called 15 percent threshold, you were quietly urging your supporters to support Barack Obama.  Was that true?",B: That is totally untrue.
adjectives_cnn.txt,LateEdition/0509-18-le.01.txt,"A: Is that a good idea?  Is New Orleans ready for 200,000 citizens to come back?","B: Well, it's a terrific idea to repopulate New Orleans and restart this city."
adverb_adjectives_cnn.txt,LarryKingLive/0703-16-lkl.01.txt,A: Did you sit with the execs?  Was that a little nervous?,B: It is very nervous.
adjectives_cnn.txt,AndersonCooper360/0311-06-acd.00.txt,"A: Let me ask you here -- I understand there is actually no certification for doctors doing this procedure.  I mean, some of them can train for a year.  Some can train for a week or more.  Is that right?",B: That is correct.
numeric.txt,Fisher/fe_03_05851.txt,Q: Is it expensive to call your friend?,A: It's about fifty cents a minute or something like that to India.
adverb_adjectives_cnn.txt,LouDobbsTonight/0408-10-ldt.00.txt,"A: Let's talk about Mexico since you brought it up.  You always want to shift this back to the United States.  Mexico is a sovereign country with almost 110 million citizens.  Aren't they responsible for those citizens, their economic and social wellbeing? Aren't they responsible for their borders?",B: They're absolutely responsible for their borders.
adjectives_cnn.txt,LateEdition/0104-15-le.00.txt,"A: As you know, Rabbi, he's a religious man, President Bush.  But there's been a lot of controversy about his proposal for these faith-based initiatives to give government money, taxpayer money to religious organizations to provide badly needed social services for the homeless or for other victims of society.  Is that a good idea?",B: I think it's a great idea.
adverb_adjectives_cnn.txt,LarryKingLive/0801-17-lkl.01.txt,"A: You discuss often on &quot;The View&quot; intimate subjects, sometimes racy subjects.  Is that ever difficult for you?",B: Those are probably the most difficult subjects for me in that area.
adjectives_cnn.txt,TheSituationRoom/0611-21-sitroom.01.txt,"A: You obviously disagree with what the United States says about your government.  Do you agree with the United States what it says is Iran, the United States says Iran is meddling in Iraq, that Iran is supporting the militias that are killing American troops and trying to destabilize the political environment.  Is that true?",B: This is extra extraordinary and preposterous.
adjectives_cnn.txt,LouDobbsTonight/0806-20-ldt.01.txt,"A: This meeting, the McCain campaign objecting to the reports that it was secret.  Was it secret?",B: It was private.
adjectives_cnn.txt,LarryKingLive/0305-26-lkl.00.txt,"A: Yes!  And our campaign slogan was, &quot;If Carol is your vice, it's a virtue.&quot;  Isn't that pretty good?",B: That's great.
adverb_adjectives_cnn.txt,TheSituationRoom/0608-02-sitroom.02.txt,"A: Let's move on to the war in Iraq.  Over these past three weeks, many more people died in Iraq than have died in Israel and Lebanon.  Today, the Iraqi president, Jalal Talabani, said this. He said, &quot;God willing, the Iraqi armed forces will, at the end of the year, take over all of the security in all of the Iraqi provinces, little by little.&quot;  Is that an overly optimistic assessment on his part?",B: I think it's probably a bit overly optimistic.
adjectives_cnn.txt,LateEdition/0702-11-le.01.txt,"A: He says he opposes amnesty, but he does support some path towards citizenship for many of these millions of illegal immigrants in the United States.  Is the president right?",B: The president's wrong on that one.
numeric.txt,sw03utt/sw_0341_2932.utt,"A: Do you have a lot of yard around your house now, in Denton?",B: It's a third of an acre.
adjectives_cnn.txt,LarryKingLive/0510-24-lkl.01.txt,A: So things are all clear?  Is the weather nice now?,B: Beautiful weather.
adjectives_cnn.txt,AndersonCooper360/0606-14-acd.01.txt,A: So this case has become pretty controversial.  There's tests done on behalf of the city and by the South Coast Air Quality Management District which found nothing unusual in the air around the school.  Are you really confident you can win this case?,B: I'm very comfortable with the legal team.
adverb_adjectives_cnn.txt,AndersonCooper360/0705-30-acd.02.txt,A: That seems to be the biggest sign of progress there.  Is that accurate?,B: That's absolutely accurate.
adjectives_cnn.txt,LarryKingLive/0203-22-lkl.00.txt,A: They're lighting up.  One of the most brilliant people I know.  Are you happy with Comedy Central?,B: They're great.
adjectives_cnn.txt,AndersonCooper360/0609-15-acd.02.txt,"A: You're not on the front lines, but you're part of this fight.  Is it hard to sort of stay focused on that?","B: It's difficult to stay focused on particular things, especially with what's going on at home."
negation_cnn.txt,LarryKingLive/0108-07-lkl.00.txt,A: What was about it him.  Was --  would you call him a great artist?,B: Not great.
adverb_adjectives_cnn.txt,LarryKingLive/0109-21-lkl.00.txt,"A: You toured the area today with the FBI director, Mr. Mueller, with Attorney General John Ashcroft.  Are you happy with all federal government is doing?",B: I'm extremely happy with their support.
adjectives_cnn.txt,LarryKingLive/0410-18-lkl.01.txt,A: She also asked you about any kind of dating or romantic life.  Is that impossible?,B: It's certainly possible.
adjectives_cnn.txt,AndersonCooper360/0601-10-acd.01.txt,A: How are the hostages doing?  Are they all right?,B: They're doing fine.
adverb_adjectives_cnn.txt,LouDobbsTonight/0307-01-ldt.00.txt,A: What kind of jobs are the students taking?  Are they different from a couple of years ago?,B: Well they're clearly different.
negation_cnn.txt,LateEdition/0305-04-le.00.txt,A: What about weapons of mass destruction?  Are you frustrated that you haven't found any hard evidence yet?,B: I'm not frustrated at all.
adverb_adjectives_cnn.txt,LarryKingLive/0202-21-lkl.00.txt,"A: Everyone we've talked to said he was not only gentle, but he was not that kind of adventuresome.  You wouldn't see him, like, crawling into Foxholes.  Is that true?",B: That's totally true.
adjectives_cnn.txt,TheSituationRoom/0707-17-sitroom.02.txt,"A: Let me get you to respond to Senator Chris Dodd.  He is going to be on our show as well and in statement he says, &quot;The NIE plainly shows that our continued involvement in Iraq is making us less secure at home and abroad.  Is that correct?",B: It's absolutely untrue.
adjectives_cnn.txt,LateEdition/0109-22-le.00.txt,"A: And in a new CNN-&quot;USA Today&quot;-Gallup Poll just out, we asked the American people how confident or not confident they were in the long-term prospects of the economy.  Look at this:  91 percent of the American people still express confidence in the long-term prospect of the U.S.  economy; only 8 percent are not confident.  Are they overly optimistic, in your professional assessment?",B: I think it shows how wise the American people are.
adjectives_cnn.txt,LateEdition/0412-12-le.01.txt,"A: From your vantage point, and you're in the region not far from Iraq, what does it look like?  Are you optimistic that there can be a peaceful move towards democracy and successful elections in Iraq?","B: I saw something very hopeful the other night, when some Iraqi political parties and personalities have fielded about 200 candidates for the elections."
adverb_adjectives_cnn.txt,LarryKingLive/0112-13-lkl.00.txt,"A: Now, the Enterprise, I'm told, Admiral, there is some extraordinary story that the crew of that amazing carrier saw the World Trade Center hit on CNN and immediately deployed, not waiting for orders.  Is that true?","B: Well, that is exactly true."
numeric.txt,sw09utt/sw_0964_2237.utt,A: Do you have a long growing season up there?,B: We have about three months.
numeric.txt,TheSituationRoom/0511-25-sitroom.02.txt,A: We've been seeing shots of it from a helicopter.  It doesn't look like a very big pond.  Is it deep?,B: It's about eight to 10 feet deep in its deepest spots.
adverb_adjectives_cnn.txt,LouDobbsTonight/0409-09-ldt.01.txt,"A: Let's focus on two things, if we could, at the outset: one, the Chechen so-called separatist movement that is behind much of the terror being waged against Russia; and secondly, this attack in Indonesia today looking for all the world to be not connected, but, in fact, are they related?","B: Well, they're undoubtedly related."
